First,Last,Email,Password,State of IP,Date of Breach,Date of Most Recent Password Change
patrick,black,patrick.black1665@yahoo.com,jimeous,louisiana,2008-05,2001-05
angela,huerta,angela.huerta1095@secmail.pro,poiuy098,new jersey,1991-11,2015-07
melissa,cooper,melissa.cooper@aol.com,Dfa21Gld,louisiana,1996-03,2005-05
johnny,norris,johnny.norris1951@gmail.com,24111970,nevada,1995-03,1992-09
ethan,rosales,at-tirmidzi@lavabit.io,Lakers32,new mexico,2016-11,1990-09
william,barnes,william.barnes420@secmail.pro,aleph,oklahoma,2008-11,2004-02
cynthia,ventura,cynthia.ventura646@aol.com,08072004,georgia,1994-01,1993-11
heather,schneider,heather.schneider@icloud.com,TATTOO,alaska,1994-05,1994-09
jennifer,chavez,jennifer.chavez1957@yahoo.com,mm6411,south carolina,1998-02,1990-03
evelyn,adams,evelyn.adams1166@aol.com,271095m,pennsylvania,2002-09,2012-07
christine,haley,christine.haley702@icloud.com,wutee,pennsylvania,1999-04,2010-05
judy,clements,cresha70@icloud.com,amc123,kansas,2010-01,2012-01
ryan,liu,ryan.liu@unzz.edu,1067773,hawaii,2012-06,1997-05
jerry,wolf,jerry.wolf1938@unzz.edu,221082,new mexico,2003-03,2016-10
adam,gibbs,adam.gibbs855@hotmail.com,noswtoh,alaska,1990-02,2013-03
cynthia,whitney,cynthia.whitney844@hotmail.com,pariah12,louisiana,2017-05,2003-10
harold,duran,harold.duran1659@gmail.com,1970340,nevada,2003-07,2004-01
edward,singleton,edward.singleton@unzz.edu,mrspeel1,wisconsin,1996-06,1998-04
grace,lane,ranaehodgens@gmail.com,beatles32,mississippi,2011-10,2013-08
juan,blackwell,juan.blackwell1304@aol.com,romy,iowa,2016-03,2003-05
beverly,davidson,beverly.davidson1615@aol.com,max3,utah,2003-04,2017-10
robert,potts,robert.potts1354@protonmail.ch,galletas,louisiana,1993-11,1997-06
eugene,bauer,eugene.bauer@protonmail.ch,udontknow,north carolina,2006-08,2015-06
samantha,salazar,samantha.salazar1408@hotmail.com,196002,,2016-10,2004-11
david,scott,david.scott1045@icloud.com,274545,maryland,1992-05,2010-07
johnny,watts,beaner_baby1010@secmail.pro,22081,wyoming,2016-09,1993-07
logan,brock,logan.brock716@lavabit.io,luria1,south dakota,2017-03,2010-05
james,shields,james.shields@gmail.com,1Hornets,massachusetts,1990-02,2013-10
amy,dominguez,amy.dominguez168@yahoo.com,bolitas-negras,massachusetts,1995-01,1993-03
melissa,white,melissa.white427@unzz.edu,villag1,wyoming,1990-02,2014-01
shirley,reyna,shirley.reyna2019@secmail.pro,snidely1,nevada,1998-02,2014-07
carl,vu,carl.vu405@gmail.com,kristina579,idaho,2013-03,2003-06
russell,walters,russell.walters@icloud.com,260207,new york,2014-09,2007-10
natalie,villegas,natalie.villegas1762@lavabit.io,163464,illinois,1991-08,2016-07
austin,daniel,austin.daniel2143@yahoo.com,080665,texas,2008-04,1999-10
samantha,little,samantha.little1965@gmail.com,xamelion,texas,1999-04,2007-09
david,hansen,david.hansen195@yahoo.com,pimpi,south dakota,1994-03,1999-06
louis,simon,louis.simon@icloud.com,burnburn,north dakota,1999-05,2011-09
wayne,friedman,wayne.friedman2@lavabit.io,gollo,rhode island,2005-09,2004-08
katherine,atkinson,yoong.yap@unzz.edu,7889,michigan,2015-05,2006-02
megan,greer,megan.greer1872@icloud.com,19051984,delaware,2006-04,2005-04
sean,mccann,sean.mccann1877@yahoo.com,91094,connecticut,2002-05,1991-11
jeremy,hahn,jeremy.hahn@icloud.com,atomise,maine,2015-04,1992-09
william,black,william.black1891@aol.com,170673,minnesota,2013-07,1998-01
william,stokes,william.stokes2125@aol.com,9018,california,2014-08,1993-06
anthony,vo,anthony.vo469@lavabit.io,hackbart,oklahoma,2007-10,1996-07
bradley,cortes,koolnatu@icloud.com,feature0,kentucky,1994-03,1996-06
natalie,faulkner,natalie.faulkner@aol.com,home77,vermont,2008-04,2017-06
richard,cummings,richard.cummings2048@hotmail.com,jmZAcF,georgia,1994-08,1995-06
justin,hopkins,justin.hopkins1544@hotmail.com,nfsboys,massachusetts,2000-01,2009-06
pamela,green,pamela.green439@icloud.com,36742700,arkansas,2006-07,1996-10
jordan,robles,jordan.robles800@icloud.com,bcq269,florida,2000-08,2010-11
nicholas,woodard,nicholas.woodard@protonmail.ch,132526,virginia,1990-07,2004-02
william,beard,freeman@secmail.pro,Doosje1,georgia,2003-07,2001-01
julie,calhoun,julie.calhoun919@lavabit.io,niemiec,maryland,2015-07,2006-10
eric,duke,eric.duke363@yahoo.com,c2378z,california,2002-04,2005-09
alexis,newman,alexis.newman1943@icloud.com,Reading,idaho,2007-11,2006-10
noah,morales,noah.morales@unzz.edu,olegus,delaware,2014-03,2002-04
jack,schroeder,jack.schroeder1505@unzz.edu,nightelf,california,1996-07,2002-07
pamela,vazquez,pamela.vazquez1561@hotmail.com,ada1lt,south carolina,2015-06,2000-03
dylan,nicholson,kubakuba2@gmail.com,hensingham,ohio,1994-02,1999-07
sarah,frost,sarah.frost1204@yahoo.com,CHRYSLER,north dakota,2007-10,2005-02
emily,nolan,emily.nolan@secmail.pro,sept1996,ohio,2016-06,1990-06
roy,franklin,roy.franklin1261@unzz.edu,elet,north dakota,2009-03,1992-06
gloria,chapman,gloria.chapman356@hotmail.com,00197800,new mexico,2017-08,1994-11
emma,huber,emma.huber1005@lavabit.io,carling1,arizona,2013-03,2001-09
juan,chapman,juan.chapman901@gmail.com,blkboy,new hampshire,2005-04,2004-09
terry,faulkner,terry.faulkner@aol.com,sm666d,new york,2009-01,1996-08
daniel,long,daniel.long1281@hotmail.com,010364,maryland,1996-09,2007-02
steven,huerta,steven.huerta1154@protonmail.ch,4838505,oregon,2015-06,2001-03
denise,garner,denise.garner716@lavabit.io,a123m123,illinois,1999-07,2006-11
vincent,peters,vincent.peters1864@unzz.edu,28071988,alabama,2008-02,2003-04
judith,herrera,judith.herrera@icloud.com,5243marg,vermont,2003-01,2012-06
vincent,correa,vincent.correa1754@protonmail.ch,seniors09,,2008-05,2006-11
kyle,matthews,k.awalwafla@aol.com,matera,texas,2012-04,2011-01
gary,munoz,gary.munoz410@lavabit.io,lol532955695,idaho,2011-02,1996-07
louis,zuniga,louis.zuniga1681@lavabit.io,tania1966,texas,2008-10,2009-11
ethan,guzman,ethan.guzman@yahoo.com,4745,washington,1996-08,1990-11
paul,taylor,paul.taylor1814@aol.com,Uptown11,illinois,2006-04,2012-07
jeffrey,walton,jeffrey.walton1796@lavabit.io,poker69,new york,2001-02,2013-06
gary,hoover,gary.hoover330@protonmail.ch,ral31gh,oregon,2010-10,1995-07
lawrence,serrano,Howarda13@hotmail.com,1313132,maine,2006-02,2012-04
terry,combs,terry.combs@lavabit.io,Msb3PMBu,new hampshire,1993-10,2009-03
bruce,woods,bruce.woods2033@gmail.com,geetam,new hampshire,2013-02,2006-06
douglas,aguirre,douglas.aguirre1129@unzz.edu,040493m,new york,2015-11,2005-07
johnny,petersen,johnny.petersen1570@hotmail.com,goodnatu,washington,1994-05,2014-09
cynthia,dennis,cynthia.dennis465@icloud.com,catford1,kansas,1994-07,2001-01
kathryn,robbins,kathryn.robbins@gmail.com,130680j,montana,2004-01,2010-05
walter,rush,mery44@unzz.edu,cyber819,georgia,2011-03,2000-05
denise,mcintyre,denise.mcintyre269@icloud.com,faskonet,missouri,2002-09,2008-09
natalie,tucker,natalie.tucker238@secmail.pro,5bc8XW46,colorado,2000-01,2011-09
alexis,franklin,alexis.franklin686@yahoo.com,CRANKYYS,minnesota,2009-01,1999-06
juan,randolph,juan.randolph@lavabit.io,916mike,new hampshire,2005-04,2002-06
julie,liu,julie.liu1574@unzz.edu,874217,washington,1996-10,2007-05
catherine,conley,catherine.conley414@icloud.com,19740804,maine,2001-07,2009-06
susan,moyer,gabrielvaldez_1@secmail.pro,240470,virginia,1999-11,2013-08
james,rasmussen,james.rasmussen1431@hotmail.com,220601,kentucky,1997-03,2002-03
kevin,alvarez,kevin.alvarez@protonmail.ch,25795,vermont,2006-06,1997-09
jane,felix,jane.felix1148@aol.com,31966,minnesota,1998-07,1996-05
michael,solis,michael.solis1721@unzz.edu,sakura17,ohio,1994-03,1990-02
helen,nielsen,helen.nielsen1675@secmail.pro,mafille,kentucky,1991-09,2001-05
lori,austin,lori.austin119@gmail.com,1415126q,indiana,2017-01,2007-08
tyler,hudson,tyler.hudson@secmail.pro,a1b3c3,colorado,2013-07,2015-04
rachel,avila,rachel.avila793@secmail.pro,210684,maine,1999-08,2002-05
linda,vega,linda.vega313@protonmail.ch,nana12,alaska,2001-10,2017-03
gloria,jennings,gloria.jennings900@aol.com,melum09,arizona,2002-03,2003-09
nicholas,green,nicholas.green1418@yahoo.com,050688,alabama,2002-05,1994-03
kimberly,foley,kimberly.foley@lavabit.io,890poi,nevada,2015-05,1992-10
maria,peck,maria.peck1188@secmail.pro,knapps,delaware,2011-02,1995-03
sean,brock,dmcintyre2010@hotmail.com,torpedos,connecticut,1993-09,1998-02
donald,silva,donald.silva317@hotmail.com,coconut8,new york,2017-11,2002-11
cheryl,warren,cheryl.warren1094@gmail.com,tkram,california,2010-04,1990-05
donald,kirby,donald.kirby@unzz.edu,Forget1,north dakota,1995-04,2009-01
alan,snyder,alan.snyder2001@aol.com,ngocok,wyoming,2013-03,2000-10
eugene,silva,eugene.silva1431@hotmail.com,physical,new jersey,2017-01,1993-08
pamela,benson,pamela.benson1197@protonmail.ch,sanane123,washington,2017-07,2003-10
ryan,wilcox,pluralulbo7@secmail.pro,DistortioN,louisiana,2008-01,1990-08
ruth,romero,ruth.romero@aol.com,birgetta,north carolina,2003-06,1996-10
lori,bean,lori.bean1060@gmail.com,FLORA,minnesota,2002-09,2000-10
james,hines,james.hines160@protonmail.ch,geez,hawaii,1993-02,2007-03
alice,shelton,alice.shelton839@unzz.edu,purple21,montana,2010-11,2014-06
victoria,nolan,victoria.nolan1460@secmail.pro,je48ifer,louisiana,2003-05,2016-06
noah,reilly,noah.reilly@unzz.edu,sankopanja,florida,1992-04,2017-02
nathan,erickson,rolonedwin@secmail.pro,firstin2,oklahoma,2017-07,2000-10
gregory,avila,gregory.avila614@yahoo.com,gutpile,kentucky,2009-11,2015-01
julia,lynch,julia.lynch1401@icloud.com,degner,connecticut,1996-03,2009-07
dennis,mcintosh,dennis.mcintosh281@lavabit.io,blade13,indiana,2004-06,2014-04
russell,velasquez,russell.velasquez@gmail.com,9033,,2000-05,2007-03
brittany,rivas,brittany.rivas1946@aol.com,kodaira52,alabama,2007-03,2001-07
eric,weber,eric.weber1169@aol.com,branden,mississippi,2004-07,1991-11
diane,cordova,freeman@gmail.com,p0tat0,kentucky,1997-01,2010-05
brittany,lewis,brittany.lewis1698@aol.com,homer111,florida,2010-07,2015-07
joseph,hunter,joseph.hunter@yahoo.com,IddqdIddqd,south dakota,2007-05,2010-01
frances,suarez,frances.suarez1154@unzz.edu,3523423,ohio,2015-09,2003-03
betty,tucker,betty.tucker530@lavabit.io,18101985n,nevada,1998-03,2005-03
peter,simmons,peter.simmons1265@gmail.com,entrap11,colorado,2012-02,2005-05
logan,paul,logan.paul235@gmail.com,031274,florida,2007-09,2013-03
beverly,stout,beverly.stout@yahoo.com,madox,pennsylvania,1998-02,2017-07
austin,gates,austin.gates910@hotmail.com,aDminWasLamm3r4Us,florida,1990-11,2010-03
kenneth,francis,kenneth.francis1811@secmail.pro,agloaglo,maryland,1996-05,1996-06
ruth,quintana,ruth.quintana73@secmail.pro,01012006,massachusetts,1991-08,1994-03
matthew,chung,matthew.chung2148@icloud.com,kobain,wyoming,2012-10,2016-09
donald,benton,donald.benton@protonmail.ch,twalters,south carolina,2006-03,1996-11
julia,payne,julia.payne7@icloud.com,twisted5,rhode island,1997-10,1998-06
emily,parra,marcus_estabaya@icloud.com,deven01,rhode island,1990-04,2002-09
mary,baxter,mary.baxter1505@hotmail.com,160179427,mississippi,2010-08,1997-04
douglas,chan,douglas.chan493@hotmail.com,lotsocash,georgia,2011-03,1998-02
joyce,barry,joyce.barry@yahoo.com,kyro,south carolina,2010-01,1999-01
ashley,hardy,ashley.hardy58@protonmail.ch,railwa,,2002-01,2014-08
amy,glover,amy.glover1001@hotmail.com,mark10,utah,1990-08,2016-09
andrea,kirk,andrea.kirk774@lavabit.io,scott191,nebraska,2007-02,2002-08
barbara,jefferson,lumpalalumpa1998.@aol.com,pez409,north carolina,1998-07,2011-04
justin,lowe,justin.lowe@yahoo.com,52248711,illinois,2006-09,1998-02
sean,vasquez,sean.vasquez1782@yahoo.com,zaqxsw21,massachusetts,2010-08,1993-09
jane,bonilla,jane.bonilla667@yahoo.com,1969000,michigan,2004-04,1995-04
john,cabrera,john.cabrera646@unzz.edu,still,kentucky,1995-09,1993-10
ashley,mejia,ashley.mejia1885@gmail.com,collude,kentucky,2008-02,2011-05
angela,massey,angela.massey@secmail.pro,5111991823,west virginia,2004-10,2000-04
joshua,dunn,alekoganolli@icloud.com,Vj85btBu,rhode island,1996-02,2008-07
stephanie,avila,stephanie.avila292@lavabit.io,123mic,south carolina,2013-09,2003-03
zachary,owens,zachary.owens1559@yahoo.com,soam,kansas,1998-04,2017-11
edward,olsen,edward.olsen239@aol.com,951482,maryland,2002-09,1995-09
emma,harrell,emma.harrell@unzz.edu,72112,north dakota,2000-08,2012-07
megan,phan,megan.phan359@unzz.edu,puats73,maine,2015-06,2014-01
emily,conway,emily.conway405@gmail.com,naibaf155,missouri,2003-03,1996-11
beverly,rush,abdulrahimfatima@secmail.pro,dyak,colorado,2010-01,1992-02
juan,mann,juan.mann582@icloud.com,oblivion3,new mexico,1999-04,2001-02
judy,buck,judy.buck@icloud.com,markremote,nevada,1999-02,2004-03
terry,chavez,terry.chavez90@secmail.pro,08121964,massachusetts,2010-04,1996-11
george,yoder,george.yoder2184@aol.com,duster2,florida,2004-11,2008-01
cynthia,austin,cynthia.austin1123@hotmail.com,dylan15,michigan,1996-03,2017-11
patricia,simpson,patricia.simpson751@yahoo.com,fields,nevada,2002-07,2013-11
peter,mendez,peter.mendez@hotmail.com,atehateh,arizona,1993-04,2017-06
bruce,pollard,bruce.pollard872@aol.com,19061995yulenka,south carolina,1994-02,1997-03
richard,castaneda,richard.castaneda1930@secmail.pro,czdjxrf,indiana,1990-07,2012-03
jacqueline,benson,jacqueline.benson236@protonmail.ch,13101908,minnesota,2003-07,1998-01
juan,leblanc,juan.leblanc1531@unzz.edu,tinke,massachusetts,2014-06,1991-11
carl,guevara,carl.guevara@icloud.com,eikcam,wisconsin,1996-10,2002-03
marie,lynch,marie.lynch1328@secmail.pro,max911,connecticut,1999-07,2016-08
alexander,kirby,lumpalalumpa1998.@secmail.pro,meowth,colorado,2017-01,2007-01
judith,walters,judith.walters375@icloud.com,sloogy,missouri,1992-07,2012-11
ann,aguilar,ann.aguilar903@unzz.edu,slot200,virginia,1996-04,2009-02
larry,hoover,larry.hoover@secmail.pro,klmklm26,nebraska,2001-04,1997-09
george,palacios,george.palacios329@lavabit.io,101671,rhode island,2007-02,2001-05
christopher,brock,christopher.brock742@aol.com,6261988,,1998-05,2007-06
brittany,jacobs,brittany.jacobs1826@aol.com,bball10,colorado,2002-08,2010-06
nancy,ortega,bld61997@aol.com,Oceans,alabama,1998-10,1993-04
peter,payne,peter.payne@gmail.com,1213358,kentucky,2009-06,2016-05
emma,lee,emma.lee1748@unzz.edu,dream87,delaware,2005-06,1998-10
theresa,goodwin,theresa.goodwin885@protonmail.ch,drowss,south dakota,2007-10,2013-03
sarah,lara,sarah.lara1661@gmail.com,kasia11,colorado,1998-02,1993-05
matthew,horne,matthew.horne1271@icloud.com,flower01,vermont,2000-05,2007-08
austin,walter,austin.walter@lavabit.io,198685,louisiana,1999-10,1998-07
rachel,dean,09smithc@aol.com,bybarsulla,michigan,1993-02,2011-04
donald,corona,donald.corona482@unzz.edu,Fhntveirf,texas,2011-01,1999-09
